year,field,total_checked,had_data,pct_available
1980,boxscore,2125,2125,100.0
1980,draft,1,1,100.0
1980,linescore,2125,2125,100.0
1980,playbyplay,2125,2125,100.0
1980,roster,30,26,86.7
1980,standings_splits,1,1,100.0
1980,transactions,1,0,0.0
1980,winprobability,2125,2125,100.0
